x,close
2016-12-30,4.6
2016-12-29,4.67
2016-12-28,4.72
2016-12-27,4.72
2016-12-26,4.72
2016-12-23,4.75
2016-12-22,4.74
2016-12-21,4.83
2016-12-20,4.7
2016-12-19,4.53
2016-12-16,4.55
2016-12-15,4.52
2016-12-14,4.5
2016-12-13,4.52
2016-12-12,4.54
2016-12-09,4.82
2016-12-08,4.83
2016-12-07,4.9
2016-12-06,4.87
2016-12-05,4.86
2016-12-02,4.92
2016-12-01,5.02
2016-11-30,5.01
2016-11-29,5.06
2016-11-28,5.07
2016-11-25,5.09
2016-11-24,5.02
2016-11-23,5.06
2016-11-22,5.1
2016-11-21,5.08
2016-11-18,5.08
2016-11-17,5.15
2016-11-16,5.22
2016-11-15,5.06
2016-11-14,5.07
2016-11-11,5.02
2016-11-10,5.0
2016-11-09,4.93
2016-11-08,5.0
2016-11-07,4.92
2016-11-04,4.9
2016-11-03,5.02
2016-11-02,5.01
2016-11-01,5.1
2016-10-31,5.07
2016-10-28,5.17
2016-10-27,5.26
2016-10-26,5.31
2016-10-25,5.2
2016-10-24,5.17
2016-10-21,5.13
2016-10-20,5.21
2016-10-19,5.2
2016-10-18,5.22
2016-10-17,5.15
2016-10-14,5.2
2016-10-13,5.25
2016-10-12,5.22
2016-10-11,5.3
2016-10-10,5.34
2016-09-30,5.31
2016-09-29,5.32
2016-09-28,5.34
2016-09-27,5.17
2016-09-26,5.15
2016-09-23,5.07
2016-09-22,5.16
2016-09-21,5.11
2016-09-20,5.18
2016-09-19,5.28
2016-09-14,5.11
2016-09-13,5.17
2016-09-12,5.11
2016-09-09,5.39
2016-09-08,5.51
2016-09-07,5.44
2016-09-06,5.72
2016-09-05,5.56
2016-09-02,5.69
2016-09-01,5.65
2016-08-31,5.14
2016-08-30,4.97
2016-08-29,5.1
2016-08-26,4.73
2016-08-25,4.52
2016-08-24,4.54
2016-08-23,4.62
2016-08-22,4.72
2016-08-19,4.48
2016-08-18,4.45
2016-08-17,4.49
2016-08-16,4.4
2016-08-15,4.39
2016-08-12,4.29
2016-08-11,4.24
2016-08-10,4.32
2016-08-09,4.32
2016-08-08,4.29
2016-08-05,4.25
2016-08-04,4.26
2016-08-03,4.25
2016-08-02,4.25
2016-08-01,4.19
2016-07-29,4.28
2016-07-28,4.37
2016-07-27,4.41
2016-07-26,4.63
2016-07-25,4.61
2016-07-22,4.44
2016-07-21,4.41
2016-07-20,4.36
2016-07-19,4.35
2016-07-18,4.33
2016-07-15,4.36
2016-07-14,4.43
2016-07-13,4.4
2016-07-12,4.35
2016-07-11,4.31
2016-07-08,4.35
2016-07-07,4.36
2016-07-06,4.38
2016-07-05,4.35
2016-07-04,4.33
2016-07-01,4.24
2016-06-30,4.29
2016-06-29,4.25
2016-06-28,4.27
2016-06-27,4.2
2016-06-24,4.08
2016-06-23,4.15
2016-06-22,4.17
2016-06-21,4.12
2016-06-20,4.15
2016-06-17,4.16
2016-06-16,4.14
2016-06-15,4.17
2016-06-14,4.07
2016-06-13,4.05
2016-06-08,4.3
2016-06-07,4.32
2016-06-06,4.36
2016-06-03,4.42
2016-06-02,4.33
2016-06-01,4.29
2016-05-31,4.29
2016-05-30,4.11
2016-05-27,4.14
2016-05-26,4.08
2016-05-25,4.07
2016-05-24,4.08
2016-05-23,4.14
2016-05-20,4.11
2016-05-19,4.06
2016-05-18,4.05
2016-05-17,4.16
2016-05-16,4.18
2016-05-13,4.12
2016-05-12,4.17
2016-05-11,4.18
2016-05-10,4.19
2016-05-09,4.19
2016-05-06,4.34
2016-05-05,4.53
2016-05-04,4.52
2016-05-03,4.55
2016-04-29,4.37
2016-04-28,4.4
2016-04-27,4.44
2016-04-26,4.49
2016-04-25,4.45
2016-04-22,4.49
2016-04-21,4.49
2016-04-20,4.55
2016-04-19,4.82
2016-04-18,4.81
2016-04-15,4.94
2016-04-14,4.97
2016-04-13,4.92
2016-04-12,4.87
2016-04-11,4.9
2016-04-08,4.75
2016-04-07,4.78
2016-04-06,4.92
2016-04-05,4.97
2016-04-01,4.8
2016-03-31,4.75
2016-03-30,4.72
2016-03-29,4.55
2016-03-28,4.69
2016-03-25,4.75
2016-03-24,4.7
2016-03-23,4.83
2016-03-22,4.81
2016-03-21,4.88
2016-03-18,4.74
2016-03-17,4.63
2016-03-16,4.48
2016-03-15,4.57
2016-03-14,4.48
2016-03-11,4.28
2016-03-10,4.3
2016-03-09,4.41
2016-03-08,4.58
2016-03-07,4.53
2016-03-04,4.4
2016-03-03,4.56
2016-03-02,4.55
2016-03-01,4.27
2016-02-29,4.15
2016-02-26,4.37
2016-02-25,4.35
2016-02-24,4.82
2016-02-23,4.76
2016-02-22,4.8
2016-02-19,4.72
2016-02-18,4.79
2016-02-17,4.76
2016-02-16,4.61
2016-02-15,4.19
2016-02-05,4.25
2016-02-04,4.33
2016-02-03,4.28
2016-02-02,4.2
2016-02-01,4.04
2016-01-29,4.11
2016-01-28,3.95
2016-01-27,4.25
2016-01-26,4.37
2016-01-25,4.85
2016-01-22,4.8
2016-01-21,4.75
2016-01-20,4.91
2016-01-19,5.0
2016-01-18,4.78
2016-01-15,4.74
2016-01-14,5.03
2016-01-13,4.91
2016-01-12,5.1
2016-01-11,5.0
2016-01-08,5.29
2016-01-07,5.21
2016-01-06,5.76
2016-01-05,5.63
2016-01-04,5.56
