x,close
2016-12-30,7.8
2016-12-29,7.75
2016-12-28,7.87
2016-12-27,7.77
2016-12-26,7.67
2016-12-23,7.74
2016-12-22,7.85
2016-12-21,7.83
2016-12-20,7.79
2016-12-19,7.68
2016-12-16,7.62
2016-12-15,7.55
2016-12-14,7.59
2016-12-13,7.67
2016-12-12,7.67
2016-12-09,8.21
2016-12-08,8.22
2016-12-07,8.35
2016-12-06,8.19
2016-12-05,8.24
2016-12-02,8.31
2016-12-01,8.4
2016-11-30,8.43
2016-11-29,8.42
2016-11-28,8.81
2016-11-25,8.74
2016-11-24,8.91
2016-11-23,8.41
2016-11-22,8.41
2016-11-21,8.41
2016-11-18,8.41
2016-11-17,8.41
2016-11-16,8.41
2016-11-15,8.44
2016-11-14,8.56
2016-11-11,8.57
2016-11-10,8.19
2016-11-09,7.92
2016-11-08,7.97
2016-11-07,7.99
2016-11-04,7.82
2016-11-03,7.84
2016-11-02,7.83
2016-11-01,7.94
2016-10-31,7.91
2016-10-28,7.82
2016-10-27,7.88
2016-10-26,7.96
2016-10-25,8.04
2016-10-24,7.92
2016-10-21,7.87
2016-10-20,7.92
2016-10-19,7.91
2016-10-18,7.91
2016-10-17,7.82
2016-10-14,7.93
2016-10-13,8.02
2016-10-12,7.95
2016-10-11,8.02
2016-10-10,7.99
2016-09-30,7.85
2016-09-29,7.74
2016-09-28,7.78
2016-09-27,7.86
2016-09-26,7.88
2016-09-23,8.11
2016-09-22,8.18
2016-09-21,8.11
2016-09-20,8.13
2016-09-19,8.11
2016-09-14,8.08
2016-09-13,8.14
2016-09-12,8.03
2016-09-09,8.19
2016-09-08,8.26
2016-09-07,8.33
2016-09-06,8.37
2016-09-05,8.36
2016-09-02,8.32
2016-09-01,8.25
2016-08-31,8.38
2016-08-30,8.4
2016-08-29,8.4
2016-08-26,8.25
2016-08-25,8.25
2016-08-24,8.42
2016-08-23,8.41
2016-08-22,8.48
2016-08-19,8.99
2016-08-18,8.69
2016-08-17,8.46
2016-08-16,8.54
2016-08-15,8.41
2016-08-12,8.13
2016-08-11,8.07
2016-08-10,8.3
2016-08-09,8.32
2016-08-08,8.15
2016-08-05,8.1
2016-08-04,8.16
2016-08-03,8.14
2016-08-02,8.09
2016-08-01,8.03
2016-07-29,8.16
2016-07-28,8.37
2016-07-27,8.36
2016-07-26,9.03
2016-07-25,8.37
2016-07-22,8.53
2016-07-21,8.79
2016-07-20,8.62
2016-07-19,8.67
2016-07-18,8.59
2016-07-15,8.84
2016-07-14,8.85
2016-07-13,9.06
2016-07-12,8.83
2016-07-11,8.92
2016-07-08,8.77
2016-07-07,8.92
2016-07-06,8.55
2016-07-05,8.25
2016-07-04,8.2
2016-07-01,7.96
2016-06-30,7.99
2016-06-29,8.18
2016-06-28,7.94
2016-06-27,8.02
2016-06-24,7.7
2016-06-23,7.85
2016-06-22,8.17
2016-06-21,7.91
2016-06-20,8.12
2016-06-17,8.71
2016-06-16,7.92
2016-06-15,7.58
2016-06-14,7.25
2016-06-13,7.34
2016-06-08,7.79
2016-06-07,7.98
2016-06-06,7.7
2016-06-03,7.63
2016-06-02,7.29
2016-06-01,7.28
2016-05-31,7.15
2016-05-30,6.83
2016-05-27,6.94
2016-05-26,7.07
2016-05-25,7.06
2016-05-24,7.28
2016-05-23,7.26
2016-05-20,7.19
2016-05-19,7.28
2016-05-18,7.09
2016-05-17,7.68
2016-05-16,7.43
2016-05-13,6.75
2016-05-12,6.52
2016-05-11,6.69
2016-05-10,6.71
2016-05-09,6.71
2016-05-06,7.13
2016-05-05,7.51
2016-05-04,7.43
2016-05-03,7.48
2016-04-29,7.23
2016-04-28,7.19
2016-04-27,7.3
2016-04-26,7.37
2016-04-25,7.26
2016-04-22,7.38
2016-04-21,7.46
2016-04-20,7.38
2016-04-19,8.01
2016-04-18,8.68
2016-04-15,9.0
2016-04-14,8.67
2016-04-13,8.72
2016-04-12,8.54
2016-04-11,8.42
2016-04-08,8.27
2016-04-07,8.44
2016-04-06,8.72
2016-04-05,8.66
2016-04-01,8.5
2016-03-31,8.66
2016-03-30,8.87
2016-03-29,8.56
2016-03-28,8.47
2016-03-25,8.74
2016-03-24,9.04
2016-03-23,8.62
2016-03-22,8.33
2016-03-21,7.57
2016-03-18,7.57
2016-03-17,7.2
2016-03-16,7.0
2016-03-15,7.12
2016-03-14,7.23
2016-03-11,7.02
2016-03-10,7.22
2016-03-09,7.53
2016-03-08,8.07
2016-03-07,8.19
2016-03-04,8.02
2016-03-03,8.0
2016-03-02,7.27
2016-03-01,6.61
2016-02-29,6.61
2016-02-26,6.61
2016-02-25,6.61
2016-02-24,6.61
2016-02-23,6.61
2016-02-22,6.61
2016-02-19,6.61
2016-02-18,6.61
2016-02-17,6.61
2016-02-16,6.61
2016-02-15,6.61
2016-02-05,6.61
2016-02-04,6.61
2016-02-03,6.61
2016-02-02,6.61
2016-02-01,6.61
2016-01-29,6.61
2016-01-28,6.61
2016-01-27,6.61
2016-01-26,6.61
2016-01-25,6.61
2016-01-22,6.61
2016-01-21,6.61
2016-01-20,6.61
2016-01-19,6.61
2016-01-18,6.61
2016-01-15,6.61
2016-01-14,6.61
2016-01-13,6.61
2016-01-12,6.61
2016-01-11,6.61
2016-01-08,6.61
2016-01-07,6.61
2016-01-06,6.61
2016-01-05,6.61
2016-01-04,6.61
