x,close
2016-12-30,18.63
2016-12-29,18.51
2016-12-28,18.33
2016-12-27,18.42
2016-12-26,18.11
2016-12-23,18.16
2016-12-22,18.61
2016-12-21,18.55
2016-12-20,17.99
2016-12-19,17.92
2016-12-16,17.64
2016-12-15,17.45
2016-12-14,17.88
2016-12-13,17.84
2016-12-12,18.01
2016-12-09,18.61
2016-12-08,18.6
2016-12-07,18.33
2016-12-06,18.29
2016-12-05,18.02
2016-12-02,18.68
2016-12-01,19.52
2016-11-30,18.89
2016-11-29,19.4
2016-11-28,18.75
2016-11-25,18.41
2016-11-24,18.26
2016-11-23,17.93
2016-11-22,17.88
2016-11-21,17.98
2016-11-18,18.11
2016-11-17,18.41
2016-11-16,18.01
2016-11-15,17.99
2016-11-14,17.78
2016-11-11,17.68
2016-11-10,17.8
2016-11-09,17.39
2016-11-08,17.72
2016-11-07,17.69
2016-11-04,17.56
2016-11-03,17.78
2016-11-02,17.7
2016-11-01,18.05
2016-10-31,17.74
2016-10-28,17.48
2016-10-27,17.63
2016-10-26,17.73
2016-10-25,18.11
2016-10-24,18.07
2016-10-21,17.75
2016-10-20,17.68
2016-10-19,17.79
2016-10-18,17.92
2016-10-17,17.66
2016-10-14,17.69
2016-10-13,17.88
2016-10-12,18.14
2016-10-11,18.34
2016-10-10,18.39
2016-09-30,16.89
2016-09-29,16.81
2016-09-28,16.52
2016-09-27,16.46
2016-09-26,16.17
2016-09-23,16.35
2016-09-22,16.45
2016-09-21,16.21
2016-09-20,16.19
2016-09-19,16.26
2016-09-14,16.03
2016-09-13,16.19
2016-09-12,16.21
2016-09-09,16.56
2016-09-08,16.81
2016-09-07,16.79
2016-09-06,16.71
2016-09-05,16.37
2016-09-02,16.29
2016-09-01,16.34
2016-08-31,16.47
2016-08-30,16.64
2016-08-29,16.89
2016-08-26,17.01
2016-08-25,16.81
2016-08-24,16.86
2016-08-23,16.9
2016-08-22,17.09
2016-08-19,16.98
2016-08-18,17.15
2016-08-17,17.39
2016-08-16,16.58
2016-08-15,16.89
2016-08-12,16.37
2016-08-11,16.18
2016-08-10,16.42
2016-08-09,16.68
2016-08-08,16.63
2016-08-05,16.4
2016-08-04,16.5
2016-08-03,16.54
2016-08-02,16.14
2016-08-01,16.01
2016-07-29,16.43
2016-07-28,16.53
2016-07-27,15.77
2016-07-26,15.85
2016-07-25,15.72
2016-07-22,15.38
2016-07-21,15.5
2016-07-20,15.49
2016-07-19,15.36
2016-07-18,15.7
2016-07-15,15.39
2016-07-14,15.23
2016-07-13,15.36
2016-07-12,15.28
2016-07-11,14.96
2016-07-08,14.49
2016-07-07,14.25
2016-07-06,14.21
2016-07-05,14.24
2016-07-04,14.33
2016-07-01,13.94
2016-06-30,14.0
2016-06-29,13.8
2016-06-28,13.82
2016-06-27,13.84
2016-06-24,13.76
2016-06-23,13.98
2016-06-22,14.11
2016-06-21,14.0
2016-06-20,13.89
2016-06-17,13.9
2016-06-16,13.79
2016-06-15,13.96
2016-06-14,13.63
2016-06-13,13.64
2016-06-08,13.95
2016-06-07,14.03
2016-06-06,14.06
2016-06-03,14.0
2016-06-02,14.08
2016-06-01,13.95
2016-05-31,13.93
2016-05-30,13.75
2016-05-27,13.53
2016-05-26,13.49
2016-05-25,13.49
2016-05-24,13.19
2016-05-23,13.15
2016-05-20,12.97
2016-05-19,13.07
2016-05-18,13.1
2016-05-17,13.21
2016-05-16,13.3
2016-05-13,13.3
2016-05-12,13.37
2016-05-11,13.4
2016-05-10,13.21
2016-05-09,13.16
2016-05-06,13.4
2016-05-05,13.65
2016-05-04,13.61
2016-05-03,13.73
2016-04-29,13.62
2016-04-28,13.53
2016-04-27,13.59
2016-04-26,13.65
2016-04-25,13.7
2016-04-22,13.63
2016-04-21,13.67
2016-04-20,13.84
2016-04-19,13.92
2016-04-18,13.99
2016-04-15,14.06
2016-04-14,14.08
2016-04-13,14.1
2016-04-12,14.11
2016-04-11,14.15
2016-04-08,14.14
2016-04-07,14.3
2016-04-06,14.33
2016-04-05,14.28
2016-04-01,14.21
2016-03-31,14.13
2016-03-30,14.12
2016-03-29,13.73
2016-03-28,13.86
2016-03-25,14.03
2016-03-24,13.99
2016-03-23,14.02
2016-03-22,14.16
2016-03-21,13.67
2016-03-18,13.56
2016-03-17,13.72
2016-03-16,13.68
2016-03-15,13.36
2016-03-14,13.37
2016-03-11,13.2
2016-03-10,13.13
2016-03-09,13.33
2016-03-08,13.49
2016-03-07,13.33
2016-03-04,13.4
2016-03-03,13.13
2016-03-02,13.21
2016-03-01,12.55
2016-02-29,12.44
2016-02-26,12.65
2016-02-25,12.54
2016-02-24,13.1
2016-02-23,13.2
2016-02-22,13.39
2016-02-19,13.22
2016-02-18,13.24
2016-02-17,13.06
2016-02-16,12.98
2016-02-15,12.53
2016-02-05,12.7
2016-02-04,12.72
2016-02-03,12.58
2016-02-02,12.58
2016-02-01,12.39
2016-01-29,12.24
2016-01-28,11.89
2016-01-27,12.4
2016-01-26,12.66
2016-01-25,13.21
2016-01-22,13.29
2016-01-21,13.19
2016-01-20,13.39
2016-01-19,13.67
2016-01-18,13.3
2016-01-15,13.23
2016-01-14,13.5
2016-01-13,13.27
2016-01-12,13.53
2016-01-11,13.41
2016-01-08,13.87
2016-01-07,13.15
2016-01-06,13.98
2016-01-05,13.64
2016-01-04,13.67
